Job title,Company name,Date,Location,Skills,Links,Salary,Requirements
Python Developer,Arabian Advanced Systems,2 days ago,"New Cairo, Cairo, Egypt ",Full timeWork from homeExperienced · 5+ Yrs of Exp · Python · Django · ReactJS · Scrum · Agile · Computer Science · Software Development · Information Technology (IT) · DevOps · IT/Software Development,https://wuzzuf.net/jobs/p/2TvMGZsnJNu2-Python-Developer-Arabian-Advanced-Systems-Cairo-Egypt?o=1&l=sp&t=sj&a=python|search-v3|hpb,"Confidential, Family Medical Insurance, Social Insurance","5+ years of overall software development experience, including full-stack work and at least one year with ReactJS.| willingness and desire to learn.| A mindset for discovery and growth.| Strong communication and collaboration skills.| Experience with Python/Django.| Enthusiasm for Agile/Scrum processes.| Experience with (or interest in) infrastructure of software systems (DevOps / SRE work)"
Senior Python Engineer,camelCase,7 days ago,"Mohandessin, Giza, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Python · Web Development · Programming · Google Cloud · App Engine · Scalability · TDD · Information Technology (IT) · Computer Science · Software Engineering,https://wuzzuf.net/jobs/p/GVa9Re6PmOwu-Senior-Python-Engineer-camelCase-Giza-Egypt?o=2&l=sp&t=sj&a=python|search-v3|hpb,"Confidential, Social Insurance + Medical Insurance","Strong understanding of the web development cycle and programming techniques.| Excellent understanding of Python.| Strong English communication - written and verbal.| Good experience with cloud hosting and serverless applications.| Familiarity with event driven architecture and queues.| Understanding of TDD methodology and automated testing techniques.| Bachelor’s degree in computer programming, computer science, or a related field."
Asterisk / Python Application Developer,Tqniat Lab L.L.C,1 day ago,"Nasr City, Cairo, Egypt ",Full timePart timeWork from homeExperienced · 2+ Yrs of Exp · Python · Information Technology (IT) · Computer Science · Software Development · Django · Linux · Asterisk · NodeJS · Freepbx · MySQL,https://wuzzuf.net/jobs/p/6VxjCY6E2sYJ-Asterisk-Python-Application-Developer-Tqniat-Lab-L-L-C-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|hpb,Confidential,"2+ years of experience working on Asterisk platform.| Strong Knowledge in PBX, SIP, RTP protocols.| Strong knowledge of Asterisk Dial-plan, Asterisk Gateway Interface and Asterisk Manager Interface.| Worked on Queue, IVR and Voicemail related applications.| Expert in Asterisk installation, configuration and troubleshooting.| R & D skills in Asterisk.| Experienced with Linux, Nginx, MySQL and Nodejs"
Senior Software Engineer - Backend Python,unilearn,7 days ago,"6th of October, Giza, Egypt ",Full timePart timeExperienced · 3+ Yrs of Exp · Python · API's · Django · SQL · Flask · Big Data · GIT · Python Development · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/RyHMn0nbWOdn-Senior-Software-Engineer---Backend-Python-unilearn-Giza-Egypt?o=4&l=sp&t=sj&a=python|search-v3|hpb,Confidential,"3+ years of programming experience building and maintaining services, most of them in Python.| Passion. Be passionate about creating clean, highly maintainable, and structured code, supported by unit and integration tests.| System Design, Design patterns & Software Architecture.| SQL / NoSQL databases and Database architecture skills.| Working with and building REST-full API's.| Knowledge of Git.| Troubleshooting. You're good at identifying the source of bugs, know how to dig into the code that may be causing the outstanding issue, and work to resolve any issues that come up.| Curiosity. You're keen on learning new technologies and tools as well as evaluating their pros and cons. You're a pragmatic programmer. You ask questions and are hungry to learn more."
Backend Engineer (Python) - Remote,Meddy,4 days ago,"Cairo, Egypt ",Full timeWork from homeExperienced · 3 - 8 Yrs of Exp · python · django · AWS · Git · Devops · Information Technology (IT) · Computer Science · Software Development · Backend · Software,https://wuzzuf.net/jobs/p/eUOUCyMUeayo-Backend-Engineer-Python---Remote-Meddy-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|hpb,Confidential,You are fluent in English. Arabic would be a plus.| You have a minimum of 3+ years of industry experience developing applications in Python.| You have developed and deployed Python applications to production.| You have a good grasp of DevOps processes.| You have an excellent ability to understand and apply software design patterns.| You can communicate very clearly to technical and non-technical team members.
Python Developer - Internship,RaccoonPlatform,8 days ago,"Smart Village, Giza, Egypt ",InternshipStudent · Information Technology (IT) · Computer Science · Software Development · Python · Engineering · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/3gy5rqdcmFUR-Python-Developer---Internship-RaccoonPlatform-Giza-Egypt?o=6&l=sp&t=sj&a=python|search-v3|hpb,Unpaid,Fresh Grads
Back-End Python Developer,Go Plus ,16 days ago,"Maadi, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Python · Programming · Development · Django · Computer Science · Software Development · Information Technology (IT) · Software Engineering · Web Development · PHP,https://wuzzuf.net/jobs/p/BpC4M512g5bP-Back-End-Python-Developer-Go-Plus-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb,Confidential,"Bachelor’s degree in computer programming, computer science, or a related field.| Strong understanding of the web development cycle and programming techniques .| Excellent understanding of specific languages, such as Java, PHP, Python specially| Strong understanding of the web development cycle and programming techniques .| Works on integrating applications.| Familiar with Django framework."
Senior Software Engineer - Backend (Python),Confidential -,11 days ago,"Cairo, Egypt ",Full timeExperienced · 2 - 4 Yrs of Exp · Backend · Software Development · Software Engineering · Docker · Database · Fintech · Information Technology (IT) · Computer Science · Computer Engineering · IT/Software Development,https://wuzzuf.net/jobs/p/CURFJuon7Lsj-Senior-Software-Engineer---Backend-Python-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|hpb,"45,000 to 60,000 EGP per month","BS in Computer Science or a related technical field| 2-4 years of experience| Experience working with Docker is a plus| Excellent knowledge of backend systems design principles, patterns, and best practices| Proficient in designing, implementing, and querying complex database schemas| Good knowledge of different database management systems| Strong communication skills| Highly motivated with positive attitude| Comfortable working in a fast-paced, all-hands-on-deck environment| Prior fintech experience is a plus"
Senior Python Developer - Full Stack,ExaServe LLC,19 days ago,"Nasr City, Cairo, Egypt ",Full timeExperienced · 4 - 7 Yrs of Exp · Python Development · Web Applications · Python · Django · Flask · HTML · Firebase · API’s · Design · Testing,https://wuzzuf.net/jobs/p/u0YYBLmlxs6O-Senior-Python-Developer---Full-Stack-ExaServe-LLC-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|hpb,"Confidential, paid  flight tickets & visa","Bachelor's degree in computer science or any related field.| experience with Python developer; full software development life-cycle, architecting scalable platforms, object oriented programming, database design and agile methodologies| Recent and consistent hands-on experience writing SQL queries| Experience with automation and maintaining various version controls systems such as GIT| Application Development and Object-Oriented Programming and Design| Experience with Requests, Numpy and Pandas Python libraries"
Senior Python Developer (Remotly),BeSteam,29 days ago,"Nasr City, Cairo, Egypt ",Part timeFreelance / ProjectWork from homeExperienced · 4 - 6 Yrs of Exp · Python · Information Technology (IT) · Computer Science · Software Development · Programming · Communication Skills · Framework · Web · Security Compliance · IT/Software Development,https://wuzzuf.net/jobs/p/5F7xVY3oKIO7-Senior-Python-Developer-Remotly-BeSteam-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Teamwork spirit and good communication skills.| Solid experience with Python Mandatory Knowledge of Python Web Framework.| Understanding of accessibility and security compliance.
